,comment,rating,sentimen,cleaned_comment,case_folding,text_tokens,text_stopword
12,Bgus,3,0,Bgus,bgus,['bgus'],['bgus']
13,"Aku hanya ngak suka pada instalnya saja, lama.",1,-1,Akuhanyangaksukapadainstalnyasajalama,akuhanyangaksukapadainstalnyasajalama,['akuhanyangaksukapadainstalnyasajalama'],['akuhanyangaksukapadainstalnyasajalama']
14,Agostinha,3,0,Agostinha,agostinha,['agostinha'],['agostinha']
15,"Aplikasi ini berguna bagi saya, saya dapat melihat live orang seperti teman saya, tapi ada kekurangan dikit mohon untuk mengdowlot agak di kurangin dikut MB nya",5,1,AplikasiinibergunabagisayasayadapatmelihatliveorangsepertitemansayatapiadakekurangandikitmohonuntukmengdowlotagakdikurangindikutMBnya,aplikasiinibergunabagisayasayadapatmelihatliveorangsepertitemansayatapiadakekurangandikitmohonuntukmengdowlotagakdikurangindikutmbnya,['aplikasiinibergunabagisayasayadapatmelihatliveorangsepertitemansayatapiadakekurangandikitmohonuntukmengdowlotagakdikurangindikutmbnya'],['aplikasiinibergunabagisayasayadapatmelihatliveorangsepertitemansayatapiadakekurangandikitmohonuntukmengdowlotagakdikurangindikutmbnya']
16,Tiktok emang bgus TPI akun tiktok ku engga ramai yg nonton tiktok gua,5,1,TiktokemangbgusTPIakuntiktokkuenggaramaiygnontontiktokgua,tiktokemangbgustpiakuntiktokkuenggaramaiygnontontiktokgua,['tiktokemangbgustpiakuntiktokkuenggaramaiygnontontiktokgua'],['tiktokemangbgustpiakuntiktokkuenggaramaiygnontontiktokgua']
17,Bagus sekali,5,1,Bagussekali,bagussekali,['bagussekali'],['bagussekali']
18,Aplikasi nya bgus banget,5,1,Aplikasinyabgusbanget,aplikasinyabgusbanget,['aplikasinyabgusbanget'],['aplikasinyabgusbanget']
19,Cool,5,1,Cool,cool,['cool'],['cool']
20,Bagus,4,1,Bagus,bagus,['bagus'],['bagus']
21,Bintang' 5lah,5,1,Bintanglah,bintanglah,['bintanglah'],['bintanglah']
22,Tiktok gak bisa di Download.,3,0,TiktokgakbisadiDownload,tiktokgakbisadidownload,['tiktokgakbisadidownload'],['tiktokgakbisadidownload']
23,xasan cade xasan cade,5,1,xasancadexasancade,xasancadexasancade,['xasancadexasancade'],['xasancadexasancade']
24,😂😂😂😂😂😂😂🤣,5,1,,,[],[]
25,susah,1,-1,susah,susah,['susah'],['susah']
26,Kenapa saya tida bisa mendownload nya,3,0,Kenapasayatidabisamendownloadnya,kenapasayatidabisamendownloadnya,['kenapasayatidabisamendownloadnya'],['kenapasayatidabisamendownloadnya']
27,Good,5,1,Good,good,['good'],['good']
28,Sangat menyukai tik tok,5,1,Sangatmenyukaitiktok,sangatmenyukaitiktok,['sangatmenyukaitiktok'],['sangatmenyukaitiktok']
29,"susah dibuka cuma logo ajaa, hrus uninstal tiap hariii",1,-1,susahdibukacumalogoajaahrusuninstaltiaphariii,susahdibukacumalogoajaahrusuninstaltiaphariii,['susahdibukacumalogoajaahrusuninstaltiaphariii'],['susahdibukacumalogoajaahrusuninstaltiaphariii']
30,buruk paraaah bikin lemot hp,1,-1,burukparaaahbikinlemothp,burukparaaahbikinlemothp,['burukparaaahbikinlemothp'],['burukparaaahbikinlemothp']
31,SAYA GAVA DENGAN TIKTOK INI,5,1,SAYAGAVADENGANTIKTOKINI,sayagavadengantiktokini,['sayagavadengantiktokini'],['sayagavadengantiktokini']
32,Bagus sekali tiktok nya saya suka,5,1,Bagussekalitiktoknyasayasuka,bagussekalitiktoknyasayasuka,['bagussekalitiktoknyasayasuka'],['bagussekalitiktoknyasayasuka']
33,"Aku sangat suka ama aplikasi tiktok,karna aplikasi ini menhibur aku",5,1,Akusangatsukaamaaplikasitiktokkarnaaplikasiinimenhiburaku,akusangatsukaamaaplikasitiktokkarnaaplikasiinimenhiburaku,['akusangatsukaamaaplikasitiktokkarnaaplikasiinimenhiburaku'],['akusangatsukaamaaplikasitiktokkarnaaplikasiinimenhiburaku']
34,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
35,Sayat bagus sekali,5,1,Sayatbagussekali,sayatbagussekali,['sayatbagussekali'],['sayatbagussekali']
36,Diarraye,5,1,Diarraye,diarraye,['diarraye'],['diarraye']
37,Metan ERMERA,5,1,MetanERMERA,metanermera,['metanermera'],['metanermera']
38,TiFa,5,1,TiFa,tifa,['tifa'],['tifa']
39,Bagus sekali,5,1,Bagussekali,bagussekali,['bagussekali'],['bagussekali']
40,Kenapa tiktok ini saya tidak bisa masuk apa ada yang blokir tiktok ini dari saya dan saya bingung sekali karena setiap saya masuk aqun tiktok ini selalu kembali d aplikasi mohon info nya donk,5,1,Kenapatiktokinisayatidakbisamasukapaadayangblokirtiktokinidarisayadansayabingungsekalikarenasetiapsayamasukaquntiktokiniselalukembalidaplikasimohoninfonyadonk,kenapatiktokinisayatidakbisamasukapaadayangblokirtiktokinidarisayadansayabingungsekalikarenasetiapsayamasukaquntiktokiniselalukembalidaplikasimohoninfonyadonk,['kenapatiktokinisayatidakbisamasukapaadayangblokirtiktokinidarisayadansayabingungsekalikarenasetiapsayamasukaquntiktokiniselalukembalidaplikasimohoninfonyadonk'],['kenapatiktokinisayatidakbisamasukapaadayangblokirtiktokinidarisayadansayabingungsekalikarenasetiapsayamasukaquntiktokiniselalukembalidaplikasimohoninfonyadonk']
41,Good,5,1,Good,good,['good'],['good']
42,Bagus sih aku punya banyak akun tiktok,5,1,Bagussihakupunyabanyakakuntiktok,bagussihakupunyabanyakakuntiktok,['bagussihakupunyabanyakakuntiktok'],['bagussihakupunyabanyakakuntiktok']
43,Sangat bagus,5,1,Sangatbagus,sangatbagus,['sangatbagus'],['sangatbagus']
44,apk ngelag gua masuk kenapa layar gua jadi abu abu padahal apk lain gak apk nya ngebug tolong di balas da di perbaiki sekarang,1,-1,apkngelagguamasukkenapalayarguajadiabuabupadahalapklaingakapknyangebugtolongdibalasdadiperbaikisekarang,apkngelagguamasukkenapalayarguajadiabuabupadahalapklaingakapknyangebugtolongdibalasdadiperbaikisekarang,['apkngelagguamasukkenapalayarguajadiabuabupadahalapklaingakapknyangebugtolongdibalasdadiperbaikisekarang'],['apkngelagguamasukkenapalayarguajadiabuabupadahalapklaingakapknyangebugtolongdibalasdadiperbaikisekarang']
45,senang lihat orang senang hatinya,5,1,senanglihatorangsenanghatinya,senanglihatorangsenanghatinya,['senanglihatorangsenanghatinya'],['senanglihatorangsenanghatinya']
46,🙏💙,3,0,,,[],[]
47,Kenapa saat saya ingin mendaftarkan akun tiktok saya selalu tidak bisa padahal dulu saya bisa mendaftar tapi malah di blokir tanpa keterangan sama sekali dan saya juga tidak bembuat pelangaran kok saya bisa di blokir dan sekarang saya sudah tidak bisa mendaftar lagi akun Saya ini gimana dan mohon maaf saya kasih reting nya gini,2,-1,KenapasaatsayainginmendaftarkanakuntiktoksayaselalutidakbisapadahaldulusayabisamendaftartapimalahdiblokirtanpaketerangansamasekalidansayajugatidakbembuatpelangarankoksayabisadiblokirdansekarangsayasudahtidakbisamendaftarlagiakunSayainigimanadanmohonmaafsayakasihretingnyagini,kenapasaatsayainginmendaftarkanakuntiktoksayaselalutidakbisapadahaldulusayabisamendaftartapimalahdiblokirtanpaketerangansamasekalidansayajugatidakbembuatpelangarankoksayabisadiblokirdansekarangsayasudahtidakbisamendaftarlagiakunsayainigimanadanmohonmaafsayakasihretingnyagini,['kenapasaatsayainginmendaftarkanakuntiktoksayaselalutidakbisapadahaldulusayabisamendaftartapimalahdiblokirtanpaketerangansamasekalidansayajugatidakbembuatpelangarankoksayabisadiblokirdansekarangsayasudahtidakbisamendaftarlagiakunsayainigimanadanmohonmaafsayakasihretingnyagini'],['kenapasaatsayainginmendaftarkanakuntiktoksayaselalutidakbisapadahaldulusayabisamendaftartapimalahdiblokirtanpaketerangansamasekalidansayajugatidakbembuatpelangarankoksayabisadiblokirdansekarangsayasudahtidakbisamendaftarlagiakunsayainigimanadanmohonmaafsayakasihretingnyagini']
48,🥰🥰🥰🥰🥰🥰,5,1,,,[],[]
49,Aplikasi yang bisa tau keadaan kita gimana😌,4,1,Aplikasiyangbisataukeadaankitagimana,aplikasiyangbisataukeadaankitagimana,['aplikasiyangbisataukeadaankitagimana'],['aplikasiyangbisataukeadaankitagimana']
50,Tiktok lemot dan cepat main blokir,1,-1,Tiktoklemotdancepatmainblokir,tiktoklemotdancepatmainblokir,['tiktoklemotdancepatmainblokir'],['tiktoklemotdancepatmainblokir']
51,Sangat bagus Tapi Bagaimana caranya mengatasi saat kita nonton acara life di tik tok selalu lemot,5,1,SangatbagusTapiBagaimanacaranyamengatasisaatkitanontonacaralifeditiktokselalulemot,sangatbagustapibagaimanacaranyamengatasisaatkitanontonacaralifeditiktokselalulemot,['sangatbagustapibagaimanacaranyamengatasisaatkitanontonacaralifeditiktokselalulemot'],['sangatbagustapibagaimanacaranyamengatasisaatkitanontonacaralifeditiktokselalulemot']
52,"Aplikasi ini sangat membantu untuk pengetahuan dan menambah wawasan saya sangan suka aplikasi ini,🖤",3,0,Aplikasiinisangatmembantuuntukpengetahuandanmenambahwawasansayasangansukaaplikasiini,aplikasiinisangatmembantuuntukpengetahuandanmenambahwawasansayasangansukaaplikasiini,['aplikasiinisangatmembantuuntukpengetahuandanmenambahwawasansayasangansukaaplikasiini'],['aplikasiinisangatmembantuuntukpengetahuandanmenambahwawasansayasangansukaaplikasiini']
53,Tidak bermanfaat.,1,-1,Tidakbermanfaat,tidakbermanfaat,['tidakbermanfaat'],['tidakbermanfaat']
54,Kenapa jafi jelek apk nya suka keluar sendiri parah,1,-1,Kenapajafijelekapknyasukakeluarsendiriparah,kenapajafijelekapknyasukakeluarsendiriparah,['kenapajafijelekapknyasukakeluarsendiriparah'],['kenapajafijelekapknyasukakeluarsendiriparah']
55,Top,5,1,Top,top,['top'],['top']
56,Pengalaman Yang Saya Dapatkan Dari Tiktok Adalah Saya Bisa Melatih Tarian Saya,5,1,PengalamanYangSayaDapatkanDariTiktokAdalahSayaBisaMelatihTarianSaya,pengalamanyangsayadapatkandaritiktokadalahsayabisamelatihtariansaya,['pengalamanyangsayadapatkandaritiktokadalahsayabisamelatihtariansaya'],['pengalamanyangsayadapatkandaritiktokadalahsayabisamelatihtariansaya']
57,Ok,1,-1,Ok,ok,['ok'],[]
58,Iyah,4,1,Iyah,iyah,['iyah'],['iyah']
59,Mantap lah,5,1,Mantaplah,mantaplah,['mantaplah'],['mantaplah']
60,Bagus banget,5,1,Bagusbanget,bagusbanget,['bagusbanget'],['bagusbanget']
61,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
62,Aplikasi ini sangat bagus👏,5,1,Aplikasiinisangatbagus,aplikasiinisangatbagus,['aplikasiinisangatbagus'],['aplikasiinisangatbagus']
63,Ok bagus,5,1,Okbagus,okbagus,['okbagus'],['okbagus']
64,👌,3,0,,,[],[]
65,Terbaik,5,1,Terbaik,terbaik,['terbaik'],['terbaik']
66,Terbaik sekali,5,1,Terbaiksekali,terbaiksekali,['terbaiksekali'],['terbaiksekali']
67,Impianku Allah tolong varil kan aku plz,5,1,ImpiankuAllahtolongvarilkanakuplz,impiankuallahtolongvarilkanakuplz,['impiankuallahtolongvarilkanakuplz'],['impiankuallahtolongvarilkanakuplz']
68,"Kenapa,, tiktok sebsi banget",1,-1,Kenapatiktoksebsibanget,kenapatiktoksebsibanget,['kenapatiktoksebsibanget'],['kenapatiktoksebsibanget']
69,EROR TERUS. TOLONG DI BANTU,4,1,ERORTERUSTOLONGDIBANTU,erorterustolongdibantu,['erorterustolongdibantu'],['erorterustolongdibantu']
70,Vvgpgp di sini adalah seorang yang tidak punya uang untuk para wanita yang tidak bisa di download di bawah ini,5,1,Vvgpgpdisiniadalahseorangyangtidakpunyauanguntukparawanitayangtidakbisadidownloaddibawahini,vvgpgpdisiniadalahseorangyangtidakpunyauanguntukparawanitayangtidakbisadidownloaddibawahini,['vvgpgpdisiniadalahseorangyangtidakpunyauanguntukparawanitayangtidakbisadidownloaddibawahini'],['vvgpgpdisiniadalahseorangyangtidakpunyauanguntukparawanitayangtidakbisadidownloaddibawahini']
71,Sangat bagusss🤩🤩👍👍,5,1,Sangatbagusss,sangatbagusss,['sangatbagusss'],['sangatbagusss']
72,Sangat bagus,4,1,Sangatbagus,sangatbagus,['sangatbagus'],['sangatbagus']
73,Aplikasi ini juga bermanfat ka kita Untuk belajar konten kreator Dan aku juga suka aplikasi ini,5,1,AplikasiinijugabermanfatkakitaUntukbelajarkontenkreatorDanakujugasukaaplikasiini,aplikasiinijugabermanfatkakitauntukbelajarkontenkreatordanakujugasukaaplikasiini,['aplikasiinijugabermanfatkakitauntukbelajarkontenkreatordanakujugasukaaplikasiini'],['aplikasiinijugabermanfatkakitauntukbelajarkontenkreatordanakujugasukaaplikasiini']
74,Bagus,4,1,Bagus,bagus,['bagus'],['bagus']
75,𝘎𝘰𝘰𝘥,5,1,,,[],[]
76,Aplikasi ini saya suka karena dance nya yang unik,5,1,Aplikasiinisayasukakarenadancenyayangunik,aplikasiinisayasukakarenadancenyayangunik,['aplikasiinisayasukakarenadancenyayangunik'],['aplikasiinisayasukakarenadancenyayangunik']
77,Sru,5,1,Sru,sru,['sru'],['sru']
78,lambat,5,1,lambat,lambat,['lambat'],['lambat']
79,Masih yg terbaik,5,1,Masihygterbaik,masihygterbaik,['masihygterbaik'],['masihygterbaik']
80,Fatah La L an,5,1,FatahLaLan,fatahlalan,['fatahlalan'],['fatahlalan']
81,Bgus,5,1,Bgus,bgus,['bgus'],['bgus']
82,Saya suka dengan tiktok ini,5,1,Sayasukadengantiktokini,sayasukadengantiktokini,['sayasukadengantiktokini'],['sayasukadengantiktokini']
83,"Akun saya tida bisa nyimpen lagu sebagai favorite dan pencarian lagu seperti dibatasi, tp di akun baru bisa🥴🥴",5,1,Akunsayatidabisanyimpenlagusebagaifavoritedanpencarianlagusepertidibatasitpdiakunbarubisa,akunsayatidabisanyimpenlagusebagaifavoritedanpencarianlagusepertidibatasitpdiakunbarubisa,['akunsayatidabisanyimpenlagusebagaifavoritedanpencarianlagusepertidibatasitpdiakunbarubisa'],['akunsayatidabisanyimpenlagusebagaifavoritedanpencarianlagusepertidibatasitpdiakunbarubisa']
84,Saya suka tiktok,5,1,Sayasukatiktok,sayasukatiktok,['sayasukatiktok'],['sayasukatiktok']
85,aroni armando cintyre,5,1,aroniarmandocintyre,aroniarmandocintyre,['aroniarmandocintyre'],['aroniarmandocintyre']
86,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
87,Kenapa tik tok ini Uda hbis di download tiba2 g bisa di buka,2,-1,KenapatiktokiniUdahbisdidownloadtibagbisadibuka,kenapatiktokiniudahbisdidownloadtibagbisadibuka,['kenapatiktokiniudahbisdidownloadtibagbisadibuka'],['kenapatiktokiniudahbisdidownloadtibagbisadibuka']
88,Sangat menghibur dlm kesuntukan setelah aktifas,5,1,Sangatmenghiburdlmkesuntukansetelahaktifas,sangatmenghiburdlmkesuntukansetelahaktifas,['sangatmenghiburdlmkesuntukansetelahaktifas'],['sangatmenghiburdlmkesuntukansetelahaktifas']
89,Aplikasi sangat bagus tapi sayang suka ngaco kenapa sy dibilang sedikit sedikit pelanggaran gak adil banget,5,1,Aplikasisangatbagustapisayangsukangacokenapasydibilangsedikitsedikitpelanggarangakadilbanget,aplikasisangatbagustapisayangsukangacokenapasydibilangsedikitsedikitpelanggarangakadilbanget,['aplikasisangatbagustapisayangsukangacokenapasydibilangsedikitsedikitpelanggarangakadilbanget'],['aplikasisangatbagustapisayangsukangacokenapasydibilangsedikitsedikitpelanggarangakadilbanget']
90,Sangat bagus,5,1,Sangatbagus,sangatbagus,['sangatbagus'],['sangatbagus']
91,😍😍,5,1,,,[],[]
92,Aplikasi nya bagus ram rendah masih bisa pakai..,5,1,Aplikasinyabagusramrendahmasihbisapakai,aplikasinyabagusramrendahmasihbisapakai,['aplikasinyabagusramrendahmasihbisapakai'],['aplikasinyabagusramrendahmasihbisapakai']
93,Pokoknya top,5,1,Pokoknyatop,pokoknyatop,['pokoknyatop'],['pokoknyatop']
94,I like tik tok because tik tok is so fun and i don't like tik tok lite because we cant use capcut but tik tok can thats why i like tik tok i give tik tok 5 stars✨👑🤗💕💖💝❤️💞👌🏻⭐⭐⭐⭐⭐,5,1,Iliketiktokbecausetiktokissofunandidontliketiktoklitebecausewecantusecapcutbuttiktokcanthatswhyiliketiktokigivetiktokstars,iliketiktokbecausetiktokissofunandidontliketiktoklitebecausewecantusecapcutbuttiktokcanthatswhyiliketiktokigivetiktokstars,['iliketiktokbecausetiktokissofunandidontliketiktoklitebecausewecantusecapcutbuttiktokcanthatswhyiliketiktokigivetiktokstars'],['iliketiktokbecausetiktokissofunandidontliketiktoklitebecausewecantusecapcutbuttiktokcanthatswhyiliketiktokigivetiktokstars']
95,Selalu mantap,5,1,Selalumantap,selalumantap,['selalumantap'],['selalumantap']
96,Apk ini sangat bagus tapi kadang kadang logo SV videonya itu hilag,5,1,ApkinisangatbagustapikadangkadanglogoSVvideonyaituhilag,apkinisangatbagustapikadangkadanglogosvvideonyaituhilag,['apkinisangatbagustapikadangkadanglogosvvideonyaituhilag'],['apkinisangatbagustapikadangkadanglogosvvideonyaituhilag']
97,Sangat bagus,5,1,Sangatbagus,sangatbagus,['sangatbagus'],['sangatbagus']
98,Semangat,5,1,Semangat,semangat,['semangat'],['semangat']
99,Vithusan,5,1,Vithusan,vithusan,['vithusan'],['vithusan']
100,Apaaan sih nih Apk selalu lemot dan keluar sendiri 🤧,1,-1,ApaaansihnihApkselalulemotdankeluarsendiri,apaaansihnihapkselalulemotdankeluarsendiri,['apaaansihnihapkselalulemotdankeluarsendiri'],['apaaansihnihapkselalulemotdankeluarsendiri']
101,Expat passang tiktok,5,1,Expatpassangtiktok,expatpassangtiktok,['expatpassangtiktok'],['expatpassangtiktok']
102,Bagusss,3,0,Bagusss,bagusss,['bagusss'],['bagusss']
103,Bagus,5,1,Bagus,bagus,['bagus'],['bagus']
104,"Tlg di perbaiki lagi tiktok sulit kebuka sekarang ini, mentok di logo tiktok aja, harus di uninstall lalu download lagi baru bisa",1,-1,Tlgdiperbaikilagitiktoksulitkebukasekaranginimentokdilogotiktokajaharusdiuninstalllaludownloadlagibarubisa,tlgdiperbaikilagitiktoksulitkebukasekaranginimentokdilogotiktokajaharusdiuninstalllaludownloadlagibarubisa,['tlgdiperbaikilagitiktoksulitkebukasekaranginimentokdilogotiktokajaharusdiuninstalllaludownloadlagibarubisa'],['tlgdiperbaikilagitiktoksulitkebukasekaranginimentokdilogotiktokajaharusdiuninstalllaludownloadlagibarubisa']
105,bagus,3,0,bagus,bagus,['bagus'],['bagus']
106,KATALJ taoi,1,-1,KATALJtaoi,kataljtaoi,['kataljtaoi'],['kataljtaoi']
107,apus,5,1,apus,apus,['apus'],['apus']
108,👍,5,1,,,[],[]
109,Hooiiiii bosen saya tiap bulan hrus Ngedounlod tiktok mulu saya sudah kasih bintan foll nyebelin tolong di perhatikan pengguna tiktok,5,1,HooiiiiibosensayatiapbulanhrusNgedounlodtiktokmulusayasudahkasihbintanfollnyebelintolongdiperhatikanpenggunatiktok,hooiiiiibosensayatiapbulanhrusngedounlodtiktokmulusayasudahkasihbintanfollnyebelintolongdiperhatikanpenggunatiktok,['hooiiiiibosensayatiapbulanhrusngedounlodtiktokmulusayasudahkasihbintanfollnyebelintolongdiperhatikanpenggunatiktok'],['hooiiiiibosensayatiapbulanhrusngedounlodtiktokmulusayasudahkasihbintanfollnyebelintolongdiperhatikanpenggunatiktok']
110,Bagus bgt dan menghibur 😘😘,5,1,Bagusbgtdanmenghibur,bagusbgtdanmenghibur,['bagusbgtdanmenghibur'],['bagusbgtdanmenghibur']
111,Arbit zawava,2,-1,Arbitzawava,arbitzawava,['arbitzawava'],['arbitzawava']
112,Keren,5,1,Keren,keren,['keren'],['keren']
113,APLIKASIH INI SANGAT BAGUS saya udah coba Tapi bagus banget Saya suka dengan tiktok ini Kalo tiktok yang lain saya tidak Sukaa!! TIKTOK INI SANGAT Bagus namun saya boleh live kapan kapan aja makasih ya kalo tiktok lite saya gak suka trus gk ada live nya lagi saya suka dengan tiktok yang ini trimakasih🙏😍😍😍,5,1,APLIKASIHINISANGATBAGUSsayaudahcobaTapibagusbangetSayasukadengantiktokiniKalotiktokyanglainsayatidakSukaaTIKTOKINISANGATBagusnamunsayabolehlivekapankapanajamakasihyakalotiktoklitesayagaksukatrusgkadalivenyalagisayasukadengantiktokyanginitrimakasih,aplikasihinisangatbagussayaudahcobatapibagusbangetsayasukadengantiktokinikalotiktokyanglainsayatidaksukaatiktokinisangatbagusnamunsayabolehlivekapankapanajamakasihyakalotiktoklitesayagaksukatrusgkadalivenyalagisayasukadengantiktokyanginitrimakasih,['aplikasihinisangatbagussayaudahcobatapibagusbangetsayasukadengantiktokinikalotiktokyanglainsayatidaksukaatiktokinisangatbagusnamunsayabolehlivekapankapanajamakasihyakalotiktoklitesayagaksukatrusgkadalivenyalagisayasukadengantiktokyanginitrimakasih'],['aplikasihinisangatbagussayaudahcobatapibagusbangetsayasukadengantiktokinikalotiktokyanglainsayatidaksukaatiktokinisangatbagusnamunsayabolehlivekapankapanajamakasihyakalotiktoklitesayagaksukatrusgkadalivenyalagisayasukadengantiktokyanginitrimakasih']
114,Bagus,3,0,Bagus,bagus,['bagus'],['bagus']
115,Bagus banget,1,-1,Bagusbanget,bagusbanget,['bagusbanget'],['bagusbanget']
116,Zanib NOOR .,3,0,ZanibNOOR,zanibnoor,['zanibnoor'],['zanibnoor']
117,Lansung kasi Bintang lima,5,1,LansungkasiBintanglima,lansungkasibintanglima,['lansungkasibintanglima'],['lansungkasibintanglima']
118,Zubair.ail,1,-1,Zubairail,zubairail,['zubairail'],['zubairail']
119,Tiktok aplikasi yang sangat menarik,5,1,Tiktokaplikasiyangsangatmenarik,tiktokaplikasiyangsangatmenarik,['tiktokaplikasiyangsangatmenarik'],['tiktokaplikasiyangsangatmenarik']
120,Tolong kenapa saya tidak bisa menanyakan teman,1,-1,Tolongkenapasayatidakbisamenanyakanteman,tolongkenapasayatidakbisamenanyakanteman,['tolongkenapasayatidakbisamenanyakanteman'],['tolongkenapasayatidakbisamenanyakanteman']
121,Smga fyp trus,4,1,Smgafyptrus,smgafyptrus,['smgafyptrus'],['smgafyptrus']
122,BAGUS,5,1,BAGUS,bagus,['bagus'],['bagus']
123,Sangat bagus,5,1,Sangatbagus,sangatbagus,['sangatbagus'],['sangatbagus']
124,Sangatt bagus dan nyaman di pake👍👍,5,1,Sangattbagusdannyamandipake,sangattbagusdannyamandipake,['sangattbagusdannyamandipake'],['sangattbagusdannyamandipake']
125,Tolong bantu follow TikTok saya,4,1,TolongbantufollowTikToksaya,tolongbantufollowtiktoksaya,['tolongbantufollowtiktoksaya'],['tolongbantufollowtiktoksaya']
