text,sentiment
tiktoknya banyak baru fitur simpan tiktok hilang draft gua hilang balikinnn draft tiktok gua ilanggggggg,Negative
aplikasi ya seru aplikasi layar hitam logo tiktok doang tolong baik,Negative
benah ngeleg,Positif
apk bug pas buka,Positif
seru,Negative
manfaat,Positif
apk ya jelek banget dikit bug apk buka ngelag masuk tiktok cuman suara doang video foto hadehhhhhh,Negative
hibur cari,Negative
kocak ikut kagak live,Negative
bagus banget,Positif
aplikasi guna bagus,Negative
aplikasi baik,Negative
mudah pakai memposting video giat sekolah,Positif
ganti nama tiktok orang,Positif
tolong baik pesan afiliasi nge bug,Negative
ya akun tiktok langsung ubah loat orang live live,Positif
buka aplikasi,Negative
bagus ya,Positif
suka tiktok,Positif
mantap pokok,Positif
sendat audio,Negative
masuk susah download ulang,Negative
sumpah tiktok ngeled hp gue,Positif
assalamualaikumini tiktok ya update hari suka masuk masuk suka menginstal tiktok ya tolong baik,Positif
wow aplikasi bagus andah suka fidio suka fidio suka terima kasih aplikasi ya siyuuu,Negative
aplikasi bosan,Negative
bismillah moga downlod amin,Positif
aplikasi hp ngeheng ram tolong jaga kualitas aplikasi,Negative
lmyn bagus,Positif
bagus sih bagus,Negative
tolong min akun login pakai aplikasi kali hapus,Negative
good banget,Positif
kurang bug bug kak,Negative
tiktok ku fitur foto ya anjg,Positif
ya akun live game selulermohon bantu cepat tiktok lapor urus urussaya kasih bintang live gamenya kasih bintang,Positif
asik seru,Positif
sipppp,Negative
apl ya suka ngebug buka tonton bagus kendali minus suka ngebug layar hitam apl,Negative
bagus bantu hibur,Negative
bagus berat aplikasi ya,Positif
sulap,Negative
boros banget kuota,Negative
bagus,Negative
aplikasi download,Negative
buka aplikasi nya,Negative
bagus banget ya fitur edit slowmo patah patah,Positif
aplikasi bantu jual produkmenambah hasil dll,Positif
aplikasi lot,Negative
filter sulap tanda simpan gue hilang coo,Negative
seru konten,Positif
ispirasi orang,Negative
asyik nanti,Negative
suka banget aplikasi gabut rumah,Positif
maaf ya tiktok kasih bintang capek cari solusi atas aktifitas hadiah sedia,Positif
bagus,Positif
akun gue kg hilang,Positif
suruh uninstal aplikasi jembot,Negative
tiktok kadang buka tunggu masuk,Positif
aplikasi bagus banget,Negative
seruuuuuu libur motivasi,Positif
aplikasi bagus ya buka aplikasi ya minggu tolong baik,Negative
kasih bintang kali bikin teks keluar aplikasi tiktok harap depan,Negative
aplikasi ya bagus banget suka,Positif
aplikasi bug robot,Negative
jual ribu produk,Positif
cpttt banget aplkasi ya jelek banget blokir an ya jls tik tok jls banget sih bikin akun gue hilang,Positif
bagus kasih bintang,Negative
bagus aplikasi,Negative
tiktok ya bagus cod pils tolongin,Positif
mudah tambah wawas,Positif
akun diblock akun pakai akun google nge follow orang follow,Negative
anja main block acc seenaknua,Negative
update buka tik tok nya,Negative
bismillah gapai mimpi juta,Positif
download woi,Negative
tolong tiktok cari rekomendasi positif oke bug ya,Positif
bagus banget tonton cerita teman tatap muka,Positif
istal tik tok moga istal tik tok,Positif
jelekkkkkkkk download,Positif
bagus,Negative
hilang vitur langgan,Positif
bagus sih bagustapi ya orang orang live followerssedangkan followers live tiktok,Positif
download,Positif
hibur informasi,Positif
kirim pesan gara gara update upload video langgar komunitas apk adil,Negative
ya allah capek banget uninstall aplikasi download aplikasi sih pencet susah,Negative
bagus sih,Positif
aplikasi,Negative
bosan mnghbr,Negative
suka koin jadi uang,Positif
tiktok tida suwara,Negative
download buka,Positif
pakai tanggal lahir pas login pakai ktp gue umur ktp,Positif
sangatt keren,Negative
b kakak tiktok,Negative
aplikasi ya sbgt bagus,Positif
sealql wek,Positif
aplikasi bagusmemuaskan,Negative
suka ya rena kaya bikin tiktok,Positif
aduh aplikasi ya kesini bagus ngebug gakbisa buka stuck logo tiktok habis tuh gue uninstal gue download capek banget,Positif
hibur,Negative
bagus banget,Positif
seru,Negative
aplikasi cocok gbt,Negative
pakai xiao buka tiktok hang uninstall install hp kayak bzz,Negative
apklikasih jelek kali ya tolong baik masak login akun pas dibukak,Positif
bagus sih ngebug tolong baru biar ngebug,Positif
vduo,Positif
tag pacar kasih bintang,Negative
tingkat fitur ya,Positif
mantap oeoe,Positif
hot,Negative
aplikasi bagus,Negative
asih langgar,Negative
tiktok kesini jelek aplikasi,Negative
ah kesel banget kesini jelek update ya suka bug,Negative
parah buka apk stuck logo bis hp ngehankotomatis delete apkdownload hp normalkmdian pakai jam ngelagapa salah apk iniknp pikir mengalamai baik initrima kasih,Negative
jelek aplikasi ya eror,Negative
aplikasi ya lumayan bagus ya buka apk apk tiktok buka download ulang,Positif
tiktok ya bagus,Positif
download tiktok tolong ya tonton tiktok terimakasih,Positif
aplikasi buka,Negative
coba,Positif
balikin postingan ulang ku kemarin maksud ya coba inti ya balikin posting ulang ku,Positif
aplikasi tiktok buka tolong baik aplikasi ya,Negative
tiktokku kirim gambar pagi tiktok shop ku hilang nge live tolong tiktok balikin fiturnya butuh banget titkok shop kirim gambar plisssss,Positif
apalaaaaaaa tiktok buka terusharus hapus download ulang lagiicapee,Negative
buka,Negative
transaksi beli koint hasil saldo potong koin masuk,Positif
lu,Positif
instal ya,Positif
elainasan,Negative
apak ang,Positif
halo tau tiktoknya nge bug mohon baik buka tiktok hp mati trmksh,Negative
hibur,Positif
good joob titok indonesia,Positif
uptade ganti nama akun orang contoh akun oshi muthejkt,Positif
mending akun pakai blokir malu aib,Negative
sik bintang emat janji,Positif
burik,Positif
woi anjing anjing gue cuman komen kirim wa langgar sih,Negative
donlod,Positif
kadang susah buka,Negative
jujh,Negative
bantu live ditiktok,Positif
tonton seru bagus poto bikin minivolok bikin konten chat respon orang tonton video bikin vidio sabagai ya,Positif
senang manfaat,Positif
apk tolol,Negative
aplikasi kuota habis aneh diposting followtapii bagus terimakasih tiktok,Negative
coba ngelag logo ya malam download ulang benerin,Positif
anti lag,Negative
apa,Negative
mantap aplikasi baik,Positif
tahan,Negative
iyan iyan,Positif
mantap tiktok,Positif
aneh banget tiktok gilir sebar jahat biar korban kena langgar joget seksi jomok boleh,Negative
informasi,Negative
please tiktok glance againnnnnnn i need that feature,Negative
bagus fitur tb tb hilang bagus bagus jelek,Negative
fyp ulang ulang sih,Positif
aplikasi bagusdan murah banget penyimpananannya,Positif
mantap puas tiktok,Positif
riweh,Positif
ya tiktok hang bukad hapus download lagigtu truss,Positif
gampang lot hp ku kentang,Negative
bagus sih lihat vidio apa orang apload,Negative
bagus,Positif
buka uninstall sih,Negative
update lot ya masuk tiktok tunggu kadang tunggu mohon kapasitas ya kurang maka gb simpan pakai kecewa terkadang aplikasi hibur terkadang bawa dampak negatif viral tiktok kadang upload vidio kadang mikir bintang mohon baik,Positif
payah buka tiktok ya download hapus download hapus kali kali kayak malas,Negative
aneh vt kena pl video tahun bikin orang pusing tiktok,Negative
buka install ulang lawak aplikasi,Negative
bagus sih hibur,Positif
sih bug benerin pas pakai buka gimananih bug ya tolong baik,Positif
tik tok seru keren,Negative
bagus banget,Positif
akun gue nak ingat mulu weh,Positif
bagus kak gallak apdep kuat,Negative
video gue kena langgar mulu dasar padhal ngapload tipu rajalela,Negative
aplikasi nya bikin hp lot,Negative
jos,Positif
aplikasi eror,Negative
kenagan tiktok,Negative
bagus bagus ajasih,Negative
bagus meuhasilkan koin,Negative
ok banget pokok,Positif
mantap seru bahagia,Positif
bugg makinn banyaakk kesal banget sc tiktok hapus download suka pas buka tiktok cum akuncul logo doanggg hapus biar kayak,Negative
nih bug buka logo truss hpnya langsung lag parah bosenn mati daya,Positif
suka,Positif
wewe,Positif
sebab hp crashstuck logo,Positif
bagus bagus tahan,Positif
buka tiktok hp mati suka ngeleg mohon baru,Negative
apknya kayak,Negative
bug knt,Positif
siiiiiiip,Negative
goblokkkkkkk arep main tiktok ra,Positif
gampang lot susah buka,Negative
apk tiktok update bagus,Positif
keren sedikt vidio atas,Negative
tiktok download,Positif
promosi video eror rerus sih bayar,Negative
sih tiktok habis update buka aneh,Negative
bagus banget,Positif
apkk jelekk masuk nunggunya banget,Negative
error terus buka tiktok ganggu,Negative
manfaat,Positif
bagus,Positif
aplikasi tiktok macet nyan hapus download masuk kembalisebaik ya baik lambat,Negative
cod syarat penuh,Positif
apk addict,Negative
admin tiktok akhirakhir tiktok buka,Negative
mbak ya tolong kecilin,Positif
bagus keren,Positif
ya unistal tiktok ya suka susah buka,Positif
mantap fyp ya gampang,Positif
luamayan,Positif
bug bikin hp eror baik,Negative
tiktok hapus akun ku salah,Negative
kembang,Positif
tolong ya tiktok install berapa kali gara gara masuk melulu alhasil hapus install lagiiicapeeek banget jujur,Negative
login masuksusah bngethrus uninstal masuktolong tiktokperbaiki bug erornyasya kecewa,Positif
tibatiba log out ngapangapain bug baik,Positif
repot aplikasi payah buka lelet,Negative
buruk kadang buka aplikasi tiktoknya download ulang,Negative
hhhahhhhhhhhhhh,Negative
bagus banget coy apk video,Positif
tik tok bagus video ya lucu tolong balikin tombol save foto plisssss,Positif
bug aplikasi bikin nyaman tonton vidio henti vidionya,Negative
tiktok the best deh perhati sensitif sistem komentar kritik unsur kasar komentar hapus kritik unsur leceh hina sekian terima kasih,Negative
buka stop logo ya masuk,Negative
ngebug,Positif
wawwwe,Positif
weld pley,Positif
titok shop hapus bayak jual tidk amanah terkadang beli barang iginkan promo perak grtis ongkir barangya kagax parah oknum kurir,Positif
nice,Positif
jelek buka,Negative
tolongg ya baik bug tiktok ya bikin orang emosi kali bah pencet apkny masuk masuk sekali masuk nge stuck logo tiktok gjls,Negative
bagus seru asik,Positif
tolong kecil ram ya,Negative
burukgabisa bukangebugharus uninstall installagi apasih pakai kesini jelek,Negative
tolong baik tiktoknya tiktok nge bug kagak buka nge stack logo doang tolong baik,Negative
ulas bagus vidio keren,Negative
uji cobd ok,Positif
erti was tida dibu ti dah muncul nama orang,Negative
adabpelangaran,Negative
aplikasi instal ber kali ter instal kuota habis sih segitu mya bug tolong baik cepat rugi guna,Negative
buka apk ya,Positif
bagus coba lihat akun ku tiktok nama monzybr lupa follow terimakasih,Positif
ya tiktok komen kayak logo kirim ya tuh klik,Positif
tiktok gue capek video blokir apasih tiktok langgar,Negative
pagi buka tiktok malam buka tiktok kela blok susah ngembaliin ya,Negative
bikin video musik otomatis buka efek nya,Positif
sih eror download masuk dihhhhh,Negative
pas buka apl tiktok,Positif
tolong min tiktoknya benerin bugnya min hp ku masalah tiktoknya,Negative
senang,Positif
bagus pakai,Negative
bagus,Negative
heran tiktok susah benget buka internet pakai wifi susah buka ngalamin nya sih tolong tiktok bantuin suka apk inipetbaikin tolong bantu konsisten buak,Negative
banget pas masuk tiktok ya,Positif
bagus simpan foto vid ya post simpan,Positif
tiktok suka bug,Negative
aplikasi bagus banget ayo download aplikasi iklan ngeleg ayo download jugaaaa,Positif
expression good,Positif
alas,Negative
bug banget sekarangsuka masuk bikin hp ngelag matiin daya lancar lagiapalagi bug masuk un install masuk tt ya,Negative
bagus bantu putar produk layan,Positif
bagus apkl,Negative
aplikasi hasil uang cepat ribu thank tiktok,Positif
ngeleg,Negative
bug buka pas buka tutup paksa tiktok aneh nih aplikasi ya,Negative
tau aplikasi tiktok nih diinstal dibka,Negative
seru sih suha bug masuk tiktok suka mulu suara ya tampil ya suka sebel tiktok suka ngelek,Positif
aplikasi seru,Negative
suka,Negative
seru banget kenal kenal teman online,Positif
live kartun malas,Negative
menariktapi tiktok update hangus banget kuota,Negative
hibur tarik mudah transaksi mantap,Positif
tiktok fitur save foto watermark,Positif
seru jj ya,Positif
bagus banget akun ku korizenrisa folowers ya,Positif
seru,Negative
gue suka banget tiktok trmksh nemenin gue,Positif
hooh,Positif
aplikasi bagus hibur,Negative
aplikasi instal banget,Positif
tik tok bagus suka,Negative
viewers konten,Positif
bagus banget cocok tenang hati banget sih,Positif
mantul,Positif
forclose apa anehh,Negative
buka update,Positif
moga bagus tas puas,Positif
yatim,Negative
bagus aplikasi,Negative
tik tok sh kadang buka kadang kadang,Positif
puas aplikasi,Negative
ratus,Positif
sempurna,Negative
apk ya ngebuk kadang shop ya shop ya hilang tolo tiktok mohon baik depan ya ya trimakasih tolong ya tiktok apk tiktok lot lemott lelettrimakasih,Positif
fitur sulap ya,Positif
mohon maaf tiktok doang buka tiktok buka ngefreezd,Positif
sih aplikasi buka spam masuk tiktok,Negative
heh admin anjing,Negative
bagus,Positif
bug masuk donload ulangudah tunggu jam stuck logo tiktok,Negative
aaar,Negative
bagus seru,Positif
hibur teman gara aplikasi inibagus bug nyaklo bug ya hp langsung eror,Negative
hapus download ulang aplikasi buka,Negative
apk ya super duper seru bangetudah sih,Positif
kadang kadang nge stuck tampil tiktok,Positif
aplikasi ya lambat,Positif
keren,Negative
tolol tiktok,Negative
hibur banget,Positif
tiktok baik,Negative
susah download ya ter install install,Negative
hibur,Positif
assalamualaikum nama silviya aplikasi tik tok bagus banget kasih bintang,Positif
bagusssss,Negative
tiktok toko hilang ya tolong baik bug,Positif
barusan gue buka tik tok bisabisa meta ai bisabisa sih tolong baik ya,Positif
bagus aplikasi,Negative
apk guna hari seberti gabut macam cocok banget deh suka tonton video durasi pendek terima kasih,Positif
bagus,Negative
user infinix ya suka ngelagnya,Positif
lelet kali aplikasi kadang gbisa dibukaharus download buka,Negative
kenapaaa gaadaa repost ulang ya,Negative
aplikasi ya bagus posting ulang tolong baik,Negative
moga sukses,Positif
guna,Positif
indonesia,Positif
bagus banget,Positif
good job,Positif
oke,Positif
lumayan,Negative
buka apk nya suka menu hp apk kadang susah buka halaman tiktok ya buka tiktok apk an lot semuaa update capek kali install apk baik apk ya ya mohon maaf apk seru banget hibur,Positif
coba update,Negative
cocok,Negative
kadang bug kadang susah pas daftar pasuk no wa ya nih payah,Positif
mantapppp,Positif
stop sb pls tiktok gue cpe ngedit rame melulu asa,Negative
no command sih deritaa lo,Negative
maaf mind apk buka update giat belanja tiktok kaya ganggu kaya minggu buka update kaya kelas tiktok bug ya tlong baik terimakasih,Negative
bagus banget,Positif
suka aplikasi daftar belokir akun tik tok bikin video mohon tolong gampang daftar ya,Negative
aplikasi sih erortiap eror uninstal download normalaplikasi pakai jangka panjangtiap eror hp ngereboot ulang,Negative
tiktok kayak sih,Negative
cocok,Negative
kasih bintang tiktok ngelag kagak patah patah apk stres update kunyuk,Negative
apa masuk,Negative
tiktok bug ya pas gue buka tiktok pencet bug ya pas masuk banget dalem tiktoknya seru huuuuuu,Positif
kesel kesel kesel kesel,Negative
tolol gua ngepost game kucing ditakedown amsu,Negative
bagus tolong kembali fitur simpan tiktok,Negative
mantap tonton nbcx,Positif
bagus banget suka,Positif
nge bug buka aplikasi,Negative
nih nih niko,Negative
bagus apliksinya asalamualaikum,Positif
rate gin bug ya baik gue kasih dapam jangka pakai tiktok ya buka uninstall instal lagicapek sih ya buka and cepat cepat uninstall hp ya langsung ngeleg apk tolong baik ya,Positif
cocok hibur rumah tangga jenuh video ya unik lucu,Positif
titktok ya jelek,Positif
tolong anak umur daftar,Negative
tiktok kadang buka sekitar sudah buka gilir buka buka mau hapus install download mohon bantu,Negative
tiktok apk bangsat main hapus akun apk babi lacknat,Negative
aplikasi bagus belanja tiktok,Negative
live,Positif
bagus,Negative
asap rokok deteksi tiktok langsung kasih ingat kenpa saran live sesuai komplain kali kali tiktok deteksi muncul live bodoh,Positif
tiktok kali ssah buka uninstal instal kmbli buka repot banget,Negative
tiktok iklan ya scroll muncul iklan bikin ganggu menit kali iklan muncul,Negative
aplikasi masalah kadang buka kasih bintang mga lancar,Negative
thalita lathifah,Positif
f bar byh,Negative
suka banget aplikasi,Positif
aplikasi guna banget datang ikut ku,Negative
pokok debess tiktok ya,Positif
kse bae kau fyp telaso sedih cweku,Negative
apk ya nge stuck tidaa buka,Positif
bagus suka ya bikin vidio bareng teman terima kasih ya maksihhhhh,Positif
seru,Positif
suka tik tok i love you tik tok,Positif
p khontol,Negative
enak makek ya,Positif
gue hapus play store kedonlowd aduh,Negative
ohhh kuuu,Negative
tiktok lelet masuk banget bikin malas buka tiktok,Negative
baik,Positif
ngelag ya buka,Positif
aga lelet buka,Positif
aplikasi ya bagus suka ngeleg ya hapus download aplikasi ya capek sih,Negative
pas login data tolong respon login cuy tolong emosi,Positif
tiktok nge stuck logo ya doang masuk masuk,Negative
juesapoiuesa,Positif
pengin ngelek,Positif
pesan langsung sih streak tt banyaakkk loh plss tt balikinnn semulaaaa,Negative
apk ajar update ngabisin kuota tolol,Negative
tik tok is the best always,Positif
okey,Negative
hp ngelag,Negative
aplikasi tiktok buka tolak,Negative
komunikasi edit video video bagus,Negative
akun fitur live obrol suara kali update tolong respon ya,Positif
aplikasi dibukakayak stuck gambar logo tiktoknya uninstalldownload mulu,Negative
aplikasi ya bagus banget,Positif
bagus,Negative
suka ngeleg bikin hp lot buka aplikasi buka ya alhasil hp ikut ngeleg parah,Negative
pidionya tarik salanm sih ekspresi,Positif
efek cokk,Positif
tiktok ppk live batas an usia kon tiktok,Negative
tulung apk tik tok baik macet macet,Negative
aplikasi dibukalagi scerolscerol tiktok,Negative
mnambahkan fitur au self,Negative
vidio dunia,Negative
apasih anjir aplikasi ngelag mulu bug ya banget keluar kadang tolong baik ya,Positif
pasuk,Positif
nge bug,Negative
akun tiktok fitur tokobya,Positif
tolong mindi baik lagimasa buka tiktok stuck logo ajahampir install uninstall lagiudh install jam eh ngulah dibukaasemoga cepat diperbaikikarna nyamanlama malas buka tiktokkalo baik entar ratelagii terimakasih min,Negative
bos ku bagus ok ya itubosku,Positif
bag aplikasi nyyaa buka,Negative
puas bagus amanah,Positif
tik tok bantu,Positif
capek aplikasi tik tok vidio ya cuman logo tik tok ya minggu kali hapus download buka tolong baru kayak buruk,Negative
ku coba deh,Positif
mantap,Positif
angangang,Positif
apa mulu,Negative
bantu,Negative
tolong tiktok,Positif
keren abang,Positif
kenpa bintang jelek kayak kontol ye kayak susah banget tik tok kayak titid banget tolong hapus tik tok virus ya tik tok celengggggggg kontrol tik tok asu ana virus ee lonte tik tok lonte lek celeh asu kontol download enggo ngapa sudi nemen celeng asu tik tok kayak saiki dapur e seng gae kayak kontol tahi kepeceret celeng asu jembut koe tik tok asu leng celeng asu tik tok asu titid nemen rausah download enggo ngapa turun a bintang e enggo ngapa sudi nemen download,Negative
pmky mls,Negative
malas muncul live mulu,Positif
aplikasi erorjelek,Negative
lambat,Positif
suka ngelag,Positif
bagus benerin ya developer tik tok ku chat pliss,Positif
bagus sesuai,Positif
tik tok ya tik tok shop ya,Positif
capek mendownload ya buka tiktok bagus,Positif
aslmualqumsayh puas bgga mnghibur banget bantu degn ya tiktok sukses sejahtera amin pokoyh,Positif
ya tiktok buka teken lihat tiktok mesti hapus tiktok ya download buka ya habis kuota tolong masuk,Negative
pleasee ya tiktok tolong bug ya baik kadar memori penuh tiktok live ya langsung masuk and filter filter tuh kadar dipke pencet kali,Positif
bagus seru,Positif
tiktok suka ngebak sih video gue like like komen tiktok gue pas gue lihat hilang tuh komen anehh banget tiktok tiktok tololl banget akun gue tahu teman gue anjj banget tiktok saran akun teman kontl tiktodd ngenttt cuman komen bela hapuss siii kntll,Positif
aplikasi kontolodon,Negative
login login tunggu tolong baik,Positif
bagus,Positif
keren,Positif
tiktok tolong kembaliin fitur lihat repost an orang akun dipriv,Positif
menscroll video tonton suka tepencet cari pencet bug,Negative
ngapa kapai kena ingat tiktok ajengggg,Negative
komentar kelas kena planggaransalah mana,Negative
aplikasi ok banget lumayan hibur video tarik tonton,Positif
ghui,Positif
ngeri kalimantan ora celeng tureng celeng,Negative
ngebug mulu tolong baik,Negative
padam streak ya,Positif
tuju demean tiktok,Positif
b bagus agus,Positif
ngelag hp gue,Positif
bagus,Negative
habis update ngelek buka terusini ya ngatasin ya,Positif
seru banget hibur foto fototapi ting bug,Positif
ngelag,Negative
apk ya macet susah buka hps apk download,Positif
fitur sulap,Negative
gabis buka ngulang download apk,Negative
video ya senang perhati,Positif
tiktok anng,Negative
mantap jual,Positif
hibur biar gabut,Negative
hiburanbisa belanjabisa cari cuan,Negative
apasih tiktok tinggal nunjukin vid gue orang orang susah kikir gue bikin konten orang kagak lihat gue bikin tarik apa,Negative
lemmott,Positif
mles,Negative
tempat slowmo patahpatah kemarin hilang pilih kasih jelek slowmo patah tolong slowmonya tambah hp update jelek,Negative
mantap banget,Positif
tiktok bug mendowload ulang bug tiktok parah gilir buka tiktok gbisa,Negative
apk bagus masuk vidionya,Negative
mudah live ya bos,Positif
mantap,Positif
ok gas,Positif
bagus sih aplikasihnya,Positif
til tok hlng ya,Positif
apk bagus,Positif
hapus instal aplikasi tiktok buka tiktok aplikasi,Negative
akun tiktok,Positif
lag makan ruang,Negative
bagus keren mbak ya berat harap mbak ya kurang,Positif
bagus suka,Negative
bagus isi luang sepi,Negative
henti fungsi perangkat ku kasih bintang biar fungsi hp ku,Negative
josssss,Negative
buka tiktok hp langsung mati,Positif
bagus tutor fypnya,Positif
hibur keren deh suka apk moga sukses udara bintang,Positif
