Date,Username,Rating,Review Text,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data,Sentiment
2025-01-09 10:05:31,Mass iooo,4,"bagus aplikasi nya tapi sayang banyak hoax nya, ga di saring dlu mana fakta mana hoax.. mnyebar fitnah dan hoax .",bagus aplikasi nya tapi sayang banyak hoax nya ga di saring dlu mana fakta mana hoax mnyebar fitnah dan hoax ,bagus aplikasi nya tapi sayang banyak hoax nya ga di saring dlu mana fakta mana hoax mnyebar fitnah dan hoax ,bagus aplikasi ya tapi sayang banyak hoax ya tidak di saring dulu mana fakta mana hoax mnyebar fitnah dan hoax,"['bagus', 'aplikasi', 'ya', 'tapi', 'sayang', 'banyak', 'hoax', 'ya', 'tidak', 'di', 'saring', 'dulu', 'mana', 'fakta', 'mana', 'hoax', 'mnyebar', 'fitnah', 'dan', 'hoax']","['bagus', 'aplikasi', 'ya', 'sayang', 'hoax', 'ya', 'saring', 'fakta', 'hoax', 'mnyebar', 'fitnah', 'hoax']",bagus aplikasi ya sayang hoax ya saring fakta hoax mnyebar fitnah hoax,Negative
2025-01-09 08:11:07,Ardila Nuraeni,1,Tolong dong benerin tiktok nya . Suka keluar sendiri jadi kesel kalau lagi asik asik liat video yang seru suka keluar sendiri 😡,Tolong dong benerin tiktok nya  Suka keluar sendiri jadi kesel kalau lagi asik asik liat video yang seru suka keluar sendiri ,tolong dong benerin tiktok nya  suka keluar sendiri jadi kesel kalau lagi asik asik liat video yang seru suka keluar sendiri ,tolong dong benerin tiktok ya suka keluar sendiri jadi kesel kalau lagi asik asik lihat video yang seru suka keluar sendiri,"['tolong', 'dong', 'benerin', 'tiktok', 'ya', 'suka', 'keluar', 'sendiri', 'jadi', 'kesel', 'kalau', 'lagi', 'asik', 'asik', 'lihat', 'video', 'yang', 'seru', 'suka', 'keluar', 'sendiri']","['tolong', 'benerin', 'tiktok', 'ya', 'suka', 'kesel', 'asik', 'asik', 'lihat', 'video', 'seru', 'suka']",tolong benerin tiktok ya suka kesel asik asik lihat video seru suka,Positif
2025-01-08 22:17:08,Andikamaulana Andikamaulana,1,Tiktok asuu,Tiktok asuu,tiktok asuu,tiktok asuu,"['tiktok', 'asuu']","['tiktok', 'asuu']",tiktok asuu,Negative
2025-01-08 20:08:02,Gendowor Gendeng,1,katanya udah di update bugnya kok masih aja sihh,katanya udah di update bugnya kok masih aja sihh,katanya udah di update bugnya kok masih aja sihh,katanya sudah di update bugnya kok masih saja sih,"['katanya', 'sudah', 'di', 'update', 'bugnya', 'kok', 'masih', 'saja', 'sih']","['update', 'bugnya', 'sih']",update bugnya sih,Positif
2025-01-08 14:22:22,Muhammad Alvino,1,kenapa aplikasi ini saya download dari tadi ko g bisa2,kenapa aplikasi ini saya download dari tadi ko g bisa,kenapa aplikasi ini saya download dari tadi ko g bisa,kenapa aplikasi ini saya download dari tadi kok tidak bisa,"['kenapa', 'aplikasi', 'ini', 'saya', 'download', 'dari', 'tadi', 'kok', 'tidak', 'bisa']","['aplikasi', 'download']",aplikasi download,Negative
2025-01-07 23:31:43,Tkg Mieayam,5,Gitu deh,Gitu deh,gitu deh,begitu deh,"['begitu', 'deh']",['deh'],deh,Negative
2025-01-07 20:07:47,Yoga Dwi Saputra,5,Suka setak logo jadi cepet di perbaiki,Suka setak logo jadi cepet di perbaiki,suka setak logo jadi cepet di perbaiki,suka setak logo jadi cepat di perbaiki,"['suka', 'setak', 'logo', 'jadi', 'cepat', 'di', 'perbaiki']","['suka', 'setak', 'logo', 'cepat', 'perbaiki']",suka tak logo cepat baik,Positif
2025-01-07 18:58:27,INI_HYFIK Ini_hyfik,1,jelek anjjng bug Mulu macet di logo lagi anj 🗿,jelek anjjng bug Mulu macet di logo lagi anj ,jelek anjjng bug mulu macet di logo lagi anj ,jelek anjjng bug mulu macet di logo lagi anjing,"['jelek', 'anjjng', 'bug', 'mulu', 'macet', 'di', 'logo', 'lagi', 'anjing']","['jelek', 'anjjng', 'bug', 'mulu', 'macet', 'logo', 'anjing']",jelek anjjng bug mulu macet logo anjing,Negative
2025-01-07 17:47:56,Sultan Aulia Pangestu,1,"TOLONG YAA DIPERBAIKI LAGI, SOALNYA PAS SAYA MO MASUK KE TIKTOK TIBA-TIBA GAK BISA DAN LOADINGNYA LAMA, DAN JUGA NGELEG, JADI TOLONG BANGET DIPERBAIKI!! DAN JUGA PAS SAYA MAU LOGIN KE AKUN YANG LAIN MALAH ADA TULISAN ""TIDAK BISA MEMUAT COBA LAGI"" SEPERTI ITU !, TTOLONG² BANGET YANG BUAT TIKTOK PERBAIKI 🙏🙏[sorry ngegas]",TOLONG YAA DIPERBAIKI LAGI SOALNYA PAS SAYA MO MASUK KE TIKTOK TIBATIBA GAK BISA DAN LOADINGNYA LAMA DAN JUGA NGELEG JADI TOLONG BANGET DIPERBAIKI DAN JUGA PAS SAYA MAU LOGIN KE AKUN YANG LAIN MALAH ADA TULISAN TIDAK BISA MEMUAT COBA LAGI SEPERTI ITU  TTOLONG BANGET YANG BUAT TIKTOK PERBAIKI sorry ngegas,tolong yaa diperbaiki lagi soalnya pas saya mo masuk ke tiktok tibatiba gak bisa dan loadingnya lama dan juga ngeleg jadi tolong banget diperbaiki dan juga pas saya mau login ke akun yang lain malah ada tulisan tidak bisa memuat coba lagi seperti itu  ttolong banget yang buat tiktok perbaiki sorry ngegas,tolong ya diperbaiki lagi soalnya pas saya mau masuk ke tiktok tibatiba tidak bisa dan loadingnya lama dan juga ngeleg jadi tolong banget diperbaiki dan juga pas saya mau login ke akun yang lain malah ada tulisan tidak bisa memuat coba lagi seperti itu ttolong banget yang buat tiktok perbaiki sorry ngegas,"['tolong', 'ya', 'diperbaiki', 'lagi', 'soalnya', 'pas', 'saya', 'mau', 'masuk', 'ke', 'tiktok', 'tibatiba', 'tidak', 'bisa', 'dan', 'loadingnya', 'lama', 'dan', 'juga', 'ngeleg', 'jadi', 'tolong', 'banget', 'diperbaiki', 'dan', 'juga', 'pas', 'saya', 'mau', 'login', 'ke', 'akun', 'yang', 'lain', 'malah', 'ada', 'tulisan', 'tidak', 'bisa', 'memuat', 'coba', 'lagi', 'seperti', 'itu', 'ttolong', 'banget', 'yang', 'buat', 'tiktok', 'perbaiki', 'sorry', 'ngegas']","['tolong', 'ya', 'diperbaiki', 'pas', 'masuk', 'tiktok', 'tibatiba', 'loadingnya', 'ngeleg', 'tolong', 'banget', 'diperbaiki', 'pas', 'login', 'akun', 'tulisan', 'memuat', 'coba', 'ttolong', 'banget', 'tiktok', 'perbaiki', 'sorry', 'ngegas']",tolong ya baik pas masuk tiktok tibatiba loadingnya ngeleg tolong banget baik pas login akun tulis muat coba ttolong banget tiktok baik sorry ngegas,Positif
2025-01-07 16:29:31,HAMZ STORE,5,Bocah gendeng,Bocah gendeng,bocah gendeng,bocah gendeng,"['bocah', 'gendeng']","['bocah', 'gendeng']",bocah gendeng,Negative
2025-01-07 14:35:15,Riska Cica,2,3aaar,aaar,aaar,aaar,['aaar'],['aaar'],aaar,Negative
2025-01-07 11:51:19,Chimi Putri,5,mantap bisa nonton yang ?NBCx,mantap bisa nonton yang NBCx,mantap bisa nonton yang nbcx,mantap bisa menonton yang nbcx,"['mantap', 'bisa', 'menonton', 'yang', 'nbcx']","['mantap', 'menonton', 'nbcx']",mantap tonton nbcx,Positif
2025-01-07 08:31:26,Fernando Keliat,1,Sangat burukkk,Sangat burukkk,sangat burukkk,sangat burukkk,"['sangat', 'burukkk']",['burukkk'],burukkk,Negative
2025-01-07 07:40:06,Ara Dayasha,1,"stop sb pls tiktok, gw cpe ngedit g rame mlu, perasaan dlu g gni dah",stop sb pls tiktok gw cpe ngedit g rame mlu perasaan dlu g gni dah,stop sb pls tiktok gw cpe ngedit g rame mlu perasaan dlu g gni dah,stop sb pls tiktok gue cpe ngedit tidak rame melulu perasaan dulu tidak begini sudah,"['stop', 'sb', 'pls', 'tiktok', 'gue', 'cpe', 'ngedit', 'tidak', 'rame', 'melulu', 'perasaan', 'dulu', 'tidak', 'begini', 'sudah']","['stop', 'sb', 'pls', 'tiktok', 'gue', 'cpe', 'ngedit', 'rame', 'melulu', 'perasaan']",stop sb pls tiktok gue cpe ngedit rame melulu asa,Negative
2025-01-07 07:32:25,susi widianti,3,"gelap semua layar tiktok tiba2,.",gelap semua layar tiktok tiba,gelap semua layar tiktok tiba,gelap semua layar tiktok tiba,"['gelap', 'semua', 'layar', 'tiktok', 'tiba']","['gelap', 'layar', 'tiktok']",gelap layar tiktok,Negative
2025-01-06 23:17:53,Niir Niir,5,Sueee temen donload eeeee,Sueee temen donload eeeee,sueee temen donload eeeee,sueee teman donload eeeee,"['sueee', 'teman', 'donload', 'eeeee']","['sueee', 'teman', 'donload', 'eeeee']",sueee teman donload eeeee,Positif
2025-01-06 17:39:46,ghozali marini,5,Bagus cuman susah dibuka kadang2 tiktok,Bagus cuman susah dibuka kadang tiktok,bagus cuman susah dibuka kadang tiktok,bagus cuman susah dibuka kadang tiktok,"['bagus', 'cuman', 'susah', 'dibuka', 'kadang', 'tiktok']","['bagus', 'cuman', 'susah', 'dibuka', 'kadang', 'tiktok']",bagus cuman susah buka kadang tiktok,Negative
2025-01-06 13:56:51,rejeki Septy,5,Siap asyik nantilah,Siap asyik nantilah,siap asyik nantilah,siap asyik nantilah,"['siap', 'asyik', 'nantilah']","['asyik', 'nantilah']",asyik nanti,Negative
2025-01-06 11:31:37,Pengguna Google,1,Aku gak mau dengar lagu ni percayalah percayalah percayalah percayalah percayalah bahwa bahwa ia akan datang bila ada orang yang kita sayang dan cinta kuhh cinta kuhh cinta kuhh cinta yang kita miliki sekarang selagi berusaha dan berdoa dan berusaha tuk jadi pemimpinmu kamu tak akan pernah tahu kapan manusia akan menjadi lebih besar,Aku gak mau dengar lagu ni percayalah percayalah percayalah percayalah percayalah bahwa bahwa ia akan datang bila ada orang yang kita sayang dan cinta kuhh cinta kuhh cinta kuhh cinta yang kita miliki sekarang selagi berusaha dan berdoa dan berusaha tuk jadi pemimpinmu kamu tak akan pernah tahu kapan manusia akan menjadi lebih besar,aku gak mau dengar lagu ni percayalah percayalah percayalah percayalah percayalah bahwa bahwa ia akan datang bila ada orang yang kita sayang dan cinta kuhh cinta kuhh cinta kuhh cinta yang kita miliki sekarang selagi berusaha dan berdoa dan berusaha tuk jadi pemimpinmu kamu tak akan pernah tahu kapan manusia akan menjadi lebih besar,aku tidak mau dengar lagu nih percayalah percayalah percayalah percayalah percayalah bahwa bahwa ia akan datang bila ada orang yang kita sayang dan cinta kuhh cinta kuhh cinta kuhh cinta yang kita miliki sekarang selagi berusaha dan berdoa dan berusaha untuk jadi pemimpinmu kamu tak akan pernah tahu kapan manusia akan menjadi lebih besar,"['aku', 'tidak', 'mau', 'dengar', 'lagu', 'nih', 'percayalah', 'percayalah', 'percayalah', 'percayalah', 'percayalah', 'bahwa', 'bahwa', 'ia', 'akan', 'datang', 'bila', 'ada', 'orang', 'yang', 'kita', 'sayang', 'dan', 'cinta', 'kuhh', 'cinta', 'kuhh', 'cinta', 'kuhh', 'cinta', 'yang', 'kita', 'miliki', 'sekarang', 'selagi', 'berusaha', 'dan', 'berdoa', 'dan', 'berusaha', 'untuk', 'jadi', 'pemimpinmu', 'kamu', 'tak', 'akan', 'pernah', 'tahu', 'kapan', 'manusia', 'akan', 'menjadi', 'lebih', 'besar']","['dengar', 'lagu', 'nih', 'percayalah', 'percayalah', 'percayalah', 'percayalah', 'percayalah', 'orang', 'sayang', 'cinta', 'kuhh', 'cinta', 'kuhh', 'cinta', 'kuhh', 'cinta', 'miliki', 'selagi', 'berusaha', 'berdoa', 'berusaha', 'pemimpinmu', 'manusia']",dengar lagu nih percaya percaya percaya percaya percaya orang sayang cinta kuhh cinta kuhh cinta kuhh cinta milik selagi usaha doa usaha pimpin manusia,Positif
2025-01-06 09:54:04,Mahda Wiah,5,Kok til tok sy hlng y,Kok til tok sy hlng y,kok til tok sy hlng y,kok til tok saya hlng ya,"['kok', 'til', 'tok', 'saya', 'hlng', 'ya']","['til', 'tok', 'hlng', 'ya']",til tok hlng ya,Positif
2025-01-05 14:53:26,Talita Ponsel,5,Tolong tiktok ya di bagusin dong kk,Tolong tiktok ya di bagusin dong kk,tolong tiktok ya di bagusin dong kk,tolong tiktok ya di bagusin dong kakak,"['tolong', 'tiktok', 'ya', 'di', 'bagusin', 'dong', 'kakak']","['tolong', 'tiktok', 'ya', 'bagusin', 'kakak']",tolong tiktok ya bagusin kakak,Positif
2025-01-05 13:28:58,Sinta Maisaroh,5,ik,ik,ik,ik,['ik'],['ik'],ik,Positif
2025-01-04 22:44:07,airah faizah,2,Udh bagus tapi tolong bug nya di hapus karna setiap saya mau masuk ke tiktok pasti loding nya lama dan harus uninstall lagi baru download lagi tolong di hapus bug nya ini gara gara ke banyak update jadi ngebug terus TOLONG DI HAPUS BUG NYA YA MIMIN TIKTOK,Udh bagus tapi tolong bug nya di hapus karna setiap saya mau masuk ke tiktok pasti loding nya lama dan harus uninstall lagi baru download lagi tolong di hapus bug nya ini gara gara ke banyak update jadi ngebug terus TOLONG DI HAPUS BUG NYA YA MIMIN TIKTOK,udh bagus tapi tolong bug nya di hapus karna setiap saya mau masuk ke tiktok pasti loding nya lama dan harus uninstall lagi baru download lagi tolong di hapus bug nya ini gara gara ke banyak update jadi ngebug terus tolong di hapus bug nya ya mimin tiktok,sudah bagus tapi tolong bug ya di hapus karena setiap saya mau masuk ke tiktok pasti loding ya lama dan harus uninstall lagi baru download lagi tolong di hapus bug ya ini gara gara ke banyak update jadi ngebug terus tolong di hapus bug ya ya admin tiktok,"['sudah', 'bagus', 'tapi', 'tolong', 'bug', 'ya', 'di', 'hapus', 'karena', 'setiap', 'saya', 'mau', 'masuk', 'ke', 'tiktok', 'pasti', 'loding', 'ya', 'lama', 'dan', 'harus', 'uninstall', 'lagi', 'baru', 'download', 'lagi', 'tolong', 'di', 'hapus', 'bug', 'ya', 'ini', 'gara', 'gara', 'ke', 'banyak', 'update', 'jadi', 'ngebug', 'terus', 'tolong', 'di', 'hapus', 'bug', 'ya', 'ya', 'admin', 'tiktok']","['bagus', 'tolong', 'bug', 'ya', 'hapus', 'masuk', 'tiktok', 'loding', 'ya', 'uninstall', 'download', 'tolong', 'hapus', 'bug', 'ya', 'gara', 'gara', 'update', 'ngebug', 'tolong', 'hapus', 'bug', 'ya', 'ya', 'admin', 'tiktok']",bagus tolong bug ya hapus masuk tiktok loding ya uninstall download tolong hapus bug ya gara gara update ngebug tolong hapus bug ya ya admin tiktok,Negative
2025-01-04 14:42:42,Khalisa Zahra,2,Donwload nya lama,Donwload nya lama,donwload nya lama,donwload ya lama,"['donwload', 'ya', 'lama']","['donwload', 'ya']",donwload ya,Positif
2025-01-04 14:29:18,Ahmad Craft,1,Apk Ini Kek Sampah Pas Ngomong Kasar Ke Orang Yang Menghina Kena Notif Sistem Pelanggaran Mulu Coba Kek YouTube YouTube Mah Bebas Ngomongin Kasar Ke Orang Menghina Yang Tiktok Taeeee Puki Dasar Apk Sampah,Apk Ini Kek Sampah Pas Ngomong Kasar Ke Orang Yang Menghina Kena Notif Sistem Pelanggaran Mulu Coba Kek YouTube YouTube Mah Bebas Ngomongin Kasar Ke Orang Menghina Yang Tiktok Taeeee Puki Dasar Apk Sampah,apk ini kek sampah pas ngomong kasar ke orang yang menghina kena notif sistem pelanggaran mulu coba kek youtube youtube mah bebas ngomongin kasar ke orang menghina yang tiktok taeeee puki dasar apk sampah,apk ini kayak sampah pas mengomong kasar ke orang yang menghina kena notif sistem pelanggaran mulu coba kayak youtube youtube mah bebas mengomongkan kasar ke orang menghina yang tiktok taeeee puki dasar apk sampah,"['apk', 'ini', 'kayak', 'sampah', 'pas', 'mengomong', 'kasar', 'ke', 'orang', 'yang', 'menghina', 'kena', 'notif', 'sistem', 'pelanggaran', 'mulu', 'coba', 'kayak', 'youtube', 'youtube', 'mah', 'bebas', 'mengomongkan', 'kasar', 'ke', 'orang', 'menghina', 'yang', 'tiktok', 'taeeee', 'puki', 'dasar', 'apk', 'sampah']","['apk', 'kayak', 'sampah', 'pas', 'mengomong', 'kasar', 'orang', 'menghina', 'kena', 'notif', 'sistem', 'pelanggaran', 'mulu', 'coba', 'kayak', 'youtube', 'youtube', 'mah', 'bebas', 'mengomongkan', 'kasar', 'orang', 'menghina', 'tiktok', 'taeeee', 'puki', 'dasar', 'apk', 'sampah']",apk kayak sampah pas omong kasar orang hina kena notif sistem langgar mulu coba kayak youtube youtube mah bebas omong kasar orang hina tiktok taeeee puki dasar apk sampah,Negative
2025-01-04 13:53:23,Andiva Reza,1,TikTok skrg suka bug,TikTok skrg suka bug,tiktok skrg suka bug,tiktok sekarang suka bug,"['tiktok', 'sekarang', 'suka', 'bug']","['tiktok', 'suka', 'bug']",tiktok suka bug,Negative
