,userName,rating,at,comment
56,AnggianiBaun AnggiBaun,5,2024-11-29 15:58:25,Pengalaman Yang Saya Dapatkan Dari Tiktok Adalah Saya Bisa Melatih Tarian Saya
57,Romi Maha,1,2024-11-29 14:24:44,Ok
58,Maria Luisa,4,2024-11-29 08:40:43,Iyah
59,Lis Dahlia,5,2024-11-29 07:30:38,Mantap lah
60,Helmi Prasetyo,5,2024-11-29 05:33:12,Bagus banget
61,Ahmad Fery,5,2024-11-29 03:40:51,Bagus
62,Endra Ocho,5,2024-11-27 15:23:18,Aplikasi ini sangat bagus👏
63,Eniu 77,5,2024-11-27 10:37:01,Ok bagus
64,Natos Santos,3,2024-11-27 10:07:10,👌
65,Joana Fraga Freitas,5,2024-11-26 21:48:01,Terbaik
66,Barros Barros,5,2024-11-26 21:13:12,Terbaik sekali
67,Nasiruddin Hridoy,5,2024-11-26 20:21:19,Impianku Allah tolong varil kan aku plz
68,Maemunah Muna,1,2024-11-26 15:48:09,"Kenapa,, tiktok sebsi banget"
69,Maspal,4,2024-11-25 22:29:43,EROR TERUS. TOLONG DI BANTU
70,Wulan Wulan,5,2024-11-25 16:20:11,Vvgpgp di sini adalah seorang yang tidak punya uang untuk para wanita yang tidak bisa di download di bawah ini
71,Simiao Gama,5,2024-11-25 13:42:30,Sangat bagusss🤩🤩👍👍
72,Juliao Castro,4,2024-11-25 13:38:05,Sangat bagus
73,Barros Barreto Dania,5,2024-11-25 11:51:21,Aplikasi ini juga bermanfat ka kita Untuk belajar konten kreator Dan aku juga suka aplikasi ini
74,nailaalika alika,4,2024-11-25 01:38:57,Bagus
75,Tepizkan Laraqu,5,2024-11-25 00:52:40,𝘎𝘰𝘰𝘥
76,Vasco Borges,5,2024-11-24 23:10:33,Aplikasi ini saya suka karena dance nya yang unik
77,Aa Cecep,5,2024-11-24 15:16:10,Sru
78,Malim Diwa,5,2024-11-24 12:13:57,lambat
79,Robinton Da costa,5,2024-11-24 11:44:15,Masih yg terbaik
80,Fatiha Lab,5,2024-11-24 06:59:44,Fatah La L an
81,Loxzy4 JR,5,2024-11-23 23:51:40,Bgus
82,Ahyar Rosidi,5,2024-11-23 19:02:18,Saya suka dengan tiktok ini
83,emmy karina sebayang,5,2024-11-23 14:11:37,"Akun saya tida bisa nyimpen lagu sebagai favorite dan pencarian lagu seperti dibatasi, tp di akun baru bisa🥴🥴"
84,Wiliam Da Costa Brito,5,2024-11-23 11:26:53,Saya suka tiktok
85,Francisco Simone Moiana,5,2024-11-22 18:08:44,aroni armando cintyre
86,Nurhikmah Abdul Rasyid,5,2024-11-22 09:58:13,Bagus
87,Ati Cahaya,2,2024-11-22 05:06:37,Kenapa tik tok ini Uda hbis di download tiba2 g bisa di buka
88,Mira Mira,5,2024-11-21 23:20:33,Sangat menghibur dlm kesuntukan setelah aktifas
89,Nuraeny Nurah,5,2024-11-21 21:20:18,Aplikasi sangat bagus tapi sayang suka ngaco kenapa sy dibilang sedikit sedikit pelanggaran gak adil banget
90,Aisya putri Nabilla,5,2024-11-21 20:41:51,Sangat bagus
91,Rosalia Mambaris,5,2024-11-21 19:01:53,😍😍
92,Supri Yadi,5,2024-11-21 17:16:53,Aplikasi nya bagus ram rendah masih bisa pakai..
93,Abdul Latif,5,2024-11-21 16:08:47,Pokoknya top
94,Beatriz Amargo,5,2024-11-21 13:54:37,I like tik tok because tik tok is so fun and i don't like tik tok lite because we cant use capcut but tik tok can thats why i like tik tok i give tik tok 5 stars✨👑🤗💕💖💝❤️💞👌🏻⭐⭐⭐⭐⭐
95,Eca Marica,5,2024-11-21 13:33:43,Selalu mantap
96,Dalya Lya,5,2024-11-21 11:51:20,Apk ini sangat bagus tapi kadang kadang logo SV videonya itu hilag
97,Iwan Nuloh,5,2024-11-21 09:16:11,Sangat bagus
98,Cucu Sumiyati,5,2024-11-21 01:18:34,Semangat
99,Nasar Nasar,5,2024-11-20 23:26:14,Vithusan
100,Rafa El,1,2024-11-20 16:34:54,Apaaan sih nih Apk selalu lemot dan keluar sendiri 🤧
101,FIDEL CAIRASA,5,2024-11-20 10:53:41,Expat passang tiktok
102,Incos Ahmad,3,2024-11-20 06:15:55,Bagusss
103,Nyimas Mariana,5,2024-11-20 04:05:05,Bagus
104,Gobang Lover,1,2024-11-19 23:00:28,"Tlg di perbaiki lagi tiktok sulit kebuka sekarang ini, mentok di logo tiktok aja, harus di uninstall lalu download lagi baru bisa"
105,jalli Alan,3,2024-11-18 23:53:56,bagus
106,Waheed Alli jatoi,1,2024-11-18 21:14:31,KATALJ taoi
107,Mulyadi Sawali,5,2024-11-18 18:09:51,apus
108,NAZRIL ZHUlFHI,5,2024-11-18 18:09:26,👍
109,Nurlaeaplara,5,2024-11-18 18:09:07,Hooiiiii bosen saya tiap bulan hrus Ngedounlod tiktok mulu saya sudah kasih bintan foll nyebelin tolong di perhatikan pengguna tiktok
110,Serry asih,5,2024-11-18 16:54:46,Bagus bgt dan menghibur 😘😘
111,arbitzawapa arbit,2,2024-11-18 14:27:45,Arbit zawava
112,Dapur Kita,5,2024-11-18 12:57:16,Keren
113,Levana Costa,5,2024-11-18 09:03:29,APLIKASIH INI SANGAT BAGUS saya udah coba Tapi bagus banget Saya suka dengan tiktok ini Kalo tiktok yang lain saya tidak Sukaa!! TIKTOK INI SANGAT Bagus namun saya boleh live kapan kapan aja makasih ya kalo tiktok lite saya gak suka trus gk ada live nya lagi saya suka dengan tiktok yang ini trimakasih🙏😍😍😍
114,Alwan Pirmansah,3,2024-11-18 08:03:38,Bagus
115,Pengguna Google,1,2024-11-17 22:00:50,Bagus banget
116,Yasir Khan,3,2024-11-17 21:51:56,Zanib NOOR .
117,Kedya T3akya,5,2024-11-17 21:41:26,Lansung kasi Bintang lima
118,Zubair Ali,1,2024-11-17 21:31:05,Zubair.ail
119,Joanico Barros,5,2024-11-17 19:27:21,Tiktok aplikasi yang sangat menarik
120,Ikun zita,1,2024-11-17 18:16:18,Tolong kenapa saya tidak bisa menanyakan teman
121,Duki Muhaimin,4,2024-11-17 17:21:01,Smga fyp trus
122,Talya Soares,5,2024-11-16 22:01:12,BAGUS
123,Rangga,5,2024-11-16 19:01:25,Sangat bagus
124,THALIA REGO,5,2024-11-16 10:58:09,Sangatt bagus dan nyaman di pake👍👍
125,Juje Mario Coa,4,2024-11-16 08:37:55,Tolong bantu follow TikTok saya
126,أوكتينا مهراني,1,2024-11-16 07:46:30,I can't register or create a TikTok account... I've also tried using a VPN. It still doesn't work... What should I do? Should I delete the app or can TikTok help me?
127,Agustin Afidah,2,2024-11-16 05:13:05,Buka aplikaainya lama Bikin hp lemottttttt
128,Shania Sella,5,2024-11-15 21:54:36,Ok
129,Celeste Xavier,5,2024-11-15 15:35:24,feto mesak
130,Kamat Metahn,5,2024-11-15 13:33:17,Kamat Metan
131,MaxStrem Flix,5,2024-11-15 12:25:16,It's good for me because I can chat with friends and also make good videos. Yes of course I enjoy playing this 😊
132,Kazibwe Richards gonko,5,2024-11-15 03:25:15,Slow
133,Yeningsi Kaka,5,2024-11-14 07:46:06,apa ini yang bisa kita menghibur dan
134,Debby Ireni,5,2024-11-14 05:07:00,Terima kasih
135,muhamad alfath,1,2024-11-14 03:34:12,Jelek
136,Azilda Barbosa,5,2024-11-13 17:10:17,Luar biasa
137,tagel puttra pettir,5,2024-11-13 01:26:27,Ok
138,Francisca Alves,2,2024-11-12 19:24:40,🥰
139,ferdy Aryanto,5,2024-11-12 16:27:21,"saya sangat suka dengan aplikasi ini, sangat memuaskan kan bagi setiap orang yg menggunakan aplikasi tersebut."
140,Adinda Putri tunggal,2,2024-11-12 11:30:07,"Apinya bikin hp ku lemot dari sinyal sampai apk yg lain,lebih baik apk yg dulu lebih bagus dan selalu ada Kata tindak ada tanggapan"
141,Janda Gemoy,5,2024-11-12 05:25:21,Bagus
142,عزيز,4,2024-11-12 02:10:42,manaaa fitur live photo untuk androidnyaaaaaa
143,Aldin Vaz de Carvalho Soares,5,2024-11-11 17:32:41,Aplikasi ini memang sangat bagus tapi tolong perbaiki lah sedikit karena kalo aku cari vidio lain malah munculnya cwek gojet²
144,Nika Bella,5,2024-11-11 14:18:26,Sungu saia sangat menukai Tiktok Karena kita bisa menonton dan kita bisa juga bisa menbantu Tiktok kita sendiri.
145,Ade masitoh F,4,2024-11-11 00:59:02,Sangat bagus tiktok ini
146,Mimi Hie,4,2024-11-10 22:36:05,good
147,Joanico Mendonca,5,2024-11-10 20:32:59,OK
148,Jose Soares,1,2024-11-10 14:48:43,Terbaik
149,Marisa Carla A.S. Carvalho,5,2024-11-10 04:14:48,Good
150,Wa Wan,5,2024-11-10 00:11:02,Sangat nyaman
151,eris yusmita,5,2024-11-09 20:39:46,Baguss suka
152,Surya Surya,5,2024-11-09 14:57:32,Bayak teman
153,Kampung Nambo,5,2024-11-09 13:02:16,Ini bagus
154,Syakirah Azzahra,1,2024-11-09 12:12:48,menginstal nya lama.
155,Rhinna Sadiyah,5,2024-11-09 07:24:30,"Sangat menghibur, tpi sayang tdak bisa mendapatkan cuan"
156,Yudy Jemy,5,2024-11-09 01:52:40,Bagus banget
157,Nanda Costa,5,2024-11-08 19:19:07,Siap boss
158,Atino Suares,5,2024-11-08 14:15:35,Bagus
159,M. Reza Kurniawan,1,2024-11-08 14:12:22,Dubling update tiktok
160,AGUIDA DE JESUS,1,2024-11-08 11:09:35,Dayah sukaa tiktok
161,Nouna Nouna,5,2024-11-08 09:42:42,Saya suka sekali dengan Aplikasi ini krna sangat menghibur💗
162,Muhammad Darlis,5,2024-11-08 09:26:28,Amiin.
163,Jabbar Ch,5,2024-11-08 08:32:14,'Jabbar Ali
164,Made Budiarsa,5,2024-11-08 03:38:10,Sangat membantu
165,Benancio Lopes,2,2024-11-07 21:32:14,Benansyu
166,Eliana Da Concesaun,5,2024-11-07 14:51:47,Bagus👍🏼👍🏼👍🏼
167,Dian Se,5,2024-11-07 12:38:41,Good
168,Bagus Syahputro,5,2024-11-07 12:29:45,Ok
169,Wayan sinte,5,2024-11-07 11:26:05,Puas pokok nya.klw setiap upload video dibayar bahagia rasanya...
170,Vivit Sofiat,1,2024-11-07 06:12:16,Jelek harus intas terus
171,Sudoro Radiyah,5,2024-11-07 02:01:35,Bagus nemen
172,Julio Vitoriano,5,2024-11-06 20:44:15,Sangat menbantu
173,Pedro DeJesus,5,2024-11-06 18:49:44,B.
174,Kader Jess,5,2024-11-05 23:21:10,TikTok memang bisa menghiburku
175,Mario Hoar,5,2024-11-05 13:56:13,bagus
176,kartika dewi,1,2024-11-05 00:27:28,Tiktok makin kesini makin kesana bikin kesal aplikasinya sekarang
177,Hi Hi,5,2024-11-04 14:17:06,Sangat bagus
178,JeJe Varrella,5,2024-11-04 12:19:22,Good
179,Eming Pereira Ataide,5,2024-11-03 22:55:04,Saya sangat senang dengan aplikasi ini 🤭🤭
180,Agos Hattu,2,2024-11-03 18:50:54,tik tok
181,Bambang Winarto,5,2024-11-03 17:20:22,Tidak punya
182,Ayang Aulia,5,2024-11-03 13:35:49,Bagus dan vidio lucu
183,Marito Alves,5,2024-11-02 22:09:31,Bagus
184,Ogi Martins,1,2024-11-02 14:34:20,Bagus
185,Sebastiao Soares,5,2024-11-02 14:16:48,Kerja tukan las dan mikanik mesin
186,Fernandu Santos,5,2024-11-02 07:33:50,Tidak relawan
187,Samsul Ma'arif,4,2024-11-02 05:43:52,Sangat memuaskan
188,Budi Fadhillah,5,2024-11-01 21:37:07,Bagus aplikasinya
189,Ali 777,5,2024-11-01 21:18:53,What Vario
190,Revan _,5,2024-11-01 15:18:24,Bisa komen foto🗿
191,PECINTA FILM,5,2024-11-01 01:33:56,Seru poll
192,Bonifacio Godinho,5,2024-10-31 21:36:47,Sangat bagus
193,Adel Nalle,1,2024-10-31 20:35:20,Tiktok jaringan tidak stabil
194,Abdul Malik,2,2024-10-31 19:00:55,Bagus
195,Taimali Gunilabe,2,2024-10-31 14:43:31,Atai
196,Rini Oktaviany,5,2024-10-31 10:04:22,Good
197,Deni Bae,5,2024-10-31 05:56:37,Good
198,Windy Wulandari,3,2024-10-31 00:31:47,Knapa tiktok gk bisa nonton live
199,Daniel mayhadli Sebayang,5,2024-10-30 19:02:45,Bagus.....bersyukur ada aplikasi medsos seperti ini.....mantap👍
200,Sabino Soares,5,2024-10-30 18:37:52,Saya telah download aplikasi ini tapi templatenya anggaK muncul tolong perbaiki🙏🙏
201,Octavio Goncalves,5,2024-10-29 19:26:05,tavio
202,Daniel Soares,5,2024-10-29 18:19:19,Menghibur 😻🎊🎈🎭
203,Kusbiasih Asih,5,2024-10-29 18:10:02,Sangat bagus dan menarik suka dan sangat membantu.
204,Bahiya Kedy,5,2024-10-29 15:53:43,Bagus banget gilaaak seruuu cuy
205,Celestina Peao da Silva,5,2024-10-29 06:27:36,Bagus
206,Md Miraj,5,2024-10-28 10:50:50,Good
207,Muhammad Azwanto,1,2024-10-27 12:03:08,Emang babi padahal akun baru aku buat tapi tidak bisa mengikuti penguna yang lain bukan hanya aku yang mengalami ini
208,francisco delio,2,2024-10-27 11:52:16,𝑺𝒂𝒚𝒂 𝒕𝒊𝒅𝒂𝒌 𝒃𝒊𝒔𝒂𝒉 𝒍𝒊𝒗𝒆 𝒅𝒊 𝒕𝒊𝒌𝒕𝒐𝒌
209,Satur Nino,1,2024-10-27 08:12:35,Lama lpadingnya Njierrr 🙄
210,Letisia Letisia,5,2024-10-27 08:01:35,Letisia soares
211,Dalim Jaya,5,2024-10-26 02:18:30,Mantap
212,Aris Prizaldy,5,2024-10-26 01:26:29,Sukses selalu
213,Nabilla Karawang,5,2024-10-25 21:56:58,bguss
214,Nur Hayate,5,2024-10-25 19:35:23,Good
215,Sanisa Sanisa,5,2024-10-25 18:29:30,Oke
216,Lourenco Raimoniz,5,2024-10-25 14:48:31,Aplikasi nia sanga mengesankan Ga niesal uda donlowod
217,Gonca Imal,5,2024-10-25 09:54:49,sangat baik
218,Fai Sal,5,2024-10-25 09:49:34,Faosal Hosting
219,Jeni Nurjiah,5,2024-10-24 19:25:47,kerennnn
220,Muhammad Reza,1,2024-10-24 18:52:23,"Aplikasi ini sekarang membuat saya tidak nyaman, setiap buka tiktok selalu berhenti di logo saja, lalu hp saya jadi lemot. Padahal ram 6gb internal 128gb space masih kosong banyak. Saya mengira awalnya hp saya rusak, ternyata aplikasi ini yg buat hp saya rusak"
221,Sehlin Rumuar,5,2024-10-24 08:02:54,Bagus
222,Sufaiyn Zab,5,2024-10-23 23:33:30,Sufiyan Shaikh
223,Ahmad Jaelani,5,2024-10-23 20:48:15,Ok
224,Marco soares,5,2024-10-23 18:58:59,"Bermanfaat SEKALI, coba seandainya vidio yg sudah di upload oleh kita ngga banyak penonton juga dibayar. Artinya kita juga bisa giat2 mengupload sekaligus belajar dari konten kreator lain. TERIMAKASIH"
225,Rey Naldi,4,2024-10-23 18:24:33,Kenapa tiktok saya. Sering tidak bisa di buka aplikasi tiktok. Selalu saya hapus dan download lagi. Kalau live. Ad pembritauan bahwa penonton di batasi. Tolong yg tau info nya. Kendala dimna?
226,Alisa Bela,5,2024-10-23 18:03:11,Bgus sosial media hiburan yang komplit
227,Rooney Athok93,5,2024-10-23 14:54:12,✌✌✌👍👍👍👍👍👍👌👌good
228,Kifayat Ahah,1,2024-10-23 13:22:44,Sullman
229,anwar saidatul10,5,2024-10-23 09:33:06,mmbantu
230,Andre delvian Delvian Nugroho,1,2024-10-22 22:45:42,aplikasi nya lemot banget dasar lho anjiiiingg
231,Sharma Official,2,2024-10-22 22:20:04,Mohon tiktok ku diupgrade karena masih versi lama terimakasih
232,Petrus Oecusi,5,2024-10-22 19:09:47,Petu
233,Jasimah Jasimah,5,2024-10-22 17:08:18,Luar biasa
234,Mohamad rian Setiawan,5,2024-10-22 09:16:31,Sangat bagus buat nonton video pendek
235,Tom Ktm,5,2024-10-22 05:54:16,Very good
236,Jinizarianapinto ibalai,5,2024-10-21 21:23:08,Sangat bermamfaat
237,Elisa Maia,1,2024-10-21 14:01:27,Tidak terlalubagus
238,Graciano Baptista,3,2024-10-21 11:17:31,sangat suka tapi saat membuka loadingnya lama.
239,Anak Rantau,5,2024-10-21 10:19:04,Terimakasih
240,Silvia Sherly,3,2024-10-20 22:08:08,Kenapa setiap kali aku suka moan di draft videoku. Rencana mau ngedit.. malah nggak bisa... 😒
241,Floraquida Denicia Maria Madeira,1,2024-10-20 20:31:06,Sulap ngk ad😫
242,zy barreto,5,2024-10-20 17:26:36,Hahahahahahah
243,Robiullamin Shuvo,3,2024-10-20 12:18:11,আপনিযেআমারএই
244,Algafar Fatih,3,2024-10-20 02:01:06,"Karena tidak memuaskan selain sering update suka tiba"" keluarkan diri dan minta di pulihkan kaya orang sakit aja minta berobat..."
245,Titha1 Thita2,3,2024-10-19 18:41:46,Aplikasi ya udah donwlot tapi gabisa masuk
246,Putri Indah,5,2024-10-19 18:25:33,Sanngat bgus....
247,Bebora Psht,3,2024-10-19 08:01:28,Asa yfan
248,Carrolino Da Silva maya,5,2024-10-18 20:08:15,Very nice
249,Arifin Sipayung,5,2024-10-18 17:04:22,Mantap banget
250,Md Tanvir,5,2024-10-18 17:03:07,Raikb
251,Reza Aditya,5,2024-10-18 13:04:00,"Saya kasih bintang 5 karena aplikasi TikTok ini sangat memuaskan,dan sangat menghibur"
252,Jhon Bosco,5,2024-10-18 11:52:11,Terima kasi untuk app ne saya suka
253,Jenoveva Tavares,2,2024-10-18 11:19:46,Mengapa akun saya di blokir
254,Paul Alis,5,2024-10-18 08:51:34,Paulalis
255,jose dacosta,1,2024-10-18 07:27:29,Aplikasi ini juga bisa digunakan sebagai bahan
256,yanti wahyuudin,5,2024-10-17 22:57:08,Good i like
257,yeni nuraeni,5,2024-10-17 22:27:48,Seneng dpat rejeki Alhamdulillah dengan nonton vidio
258,Safar Taher,5,2024-10-17 19:36:04,Very good
259,robi bramantio,5,2024-10-17 17:26:35,Verry good bagus kerja bagus
260,Sandrih Doank,5,2024-10-17 14:49:25,"Sangat menyenangkan bisa berkenalan dan memperbanyak teman,dan dapan uang sampingan"
261,Sria Sri,5,2024-10-17 11:10:17,Suks
262,Raden kumandang suoro,5,2024-10-17 11:02:16,Cocok untuk hiburan pas lagi gabut
263,Cecilia De Sousa,5,2024-10-17 10:55:42,Even
264,Bila Raja,3,2024-10-16 16:03:21,🕋🕌
265,Momi Aya,5,2024-10-16 02:50:57,Good
266,Triyanto T,5,2024-10-15 22:22:17,Ok
267,R Tilman Viegas Martins,4,2024-10-15 18:42:46,"Tolong di akun saya tidak bisa semua orang,dari Komentar juga gk bisa tolong diperbaiki🙏🏽🙏🏽"
268,Ikun Matai,5,2024-10-15 18:31:41,Jessy matai
269,GRIFARIO,5,2024-10-15 18:06:04,Grifario kehi
270,Nelsia Yolanda Mendonca,5,2024-10-14 19:47:21,Terbaik until tonton Dan bagus tapi Installe nya lama
271,Maria Urquiza,1,2024-10-14 02:53:44,Üç ki
272,Simpliciobarreto Ximenes,5,2024-10-13 23:53:25,Teristal
273,Mohammad Fani Kurniawan,1,2024-10-13 12:53:11,"Sudah mengajukan keluhan kepada pihak Customer Service bahwa fitur live game pada akun saya tidak tersedia dan hanya ada fitur live biasa, tapi tidak ada tindakan maupun jawaban selama lebih dari 2 hari"
274,Siti Kamilah,5,2024-10-13 00:12:52,Bguss sekali
275,Richard Malonda,1,2024-10-12 19:39:05,"update yang berlangsung sangat lama, apalagi buka aplikasinya, sangat berat karena menguras ram padahal ram saya 3gb. Sungguh menjengkelkan.."
276,Mateus ximenes Mateus,1,2024-10-12 13:46:06,Fbg.
277,Siha Elfad,5,2024-10-12 12:46:13,👍👍👍
278,Nataciaa Azaah,5,2024-10-12 12:26:32,Memang sangat bagus
279,Maulana Odeks my,5,2024-10-12 02:24:29,Bisa di buka tiktok
280,Momdhea Dhea,4,2024-10-11 15:17:31,👍👍
281,Sanmorje Ati,5,2024-10-11 07:43:02,Apk Nia Bgs
282,Nandang,5,2024-10-10 22:20:59,Yg pasti tiktok itu....untuk hiburan & business...good's
283,Putri Tunggal,5,2024-10-10 18:41:30,Ok
284,Novi Wulan dari Ninggsih,2,2024-10-10 08:20:14,Pihak tik tok yang terhormat saya minta tolong Mohon di perbaiki lagi dengan konsisten.
285,Chito Tatto,5,2024-10-09 23:11:17,Sangat bagus
286,Rosalinda Jouxha,3,2024-10-09 21:47:07,Tiktok bagus untuk hiburan tpi.update trus tiap hari sya kasih bintang 3
287,Tar Yadi,4,2024-10-09 19:41:18,D tiktok lite uda 2k tapi belum bisa liat live akun lain. Kenapa ya. Jadi tiktok lite saya hapus. Jadi saya dounwlod aplikasi tiktok lain cuma engga bisa d instal kenapa ya?
288,artika jember,2,2024-10-09 16:46:36,aq suka tik tok tapi sekarang tik tok susah gk bisa di perbaharui.
289,atiyah atiyah,5,2024-10-09 07:56:16,5 Bn
290,Alwi Fera,5,2024-10-08 21:09:21,Mantap tik tok cuman banyak yang gak jelas
291,Muhammad umar Umar,5,2024-10-08 19:46:29,saya mamu puya pacar
292,Bonifasio Afito,5,2024-10-08 18:31:26,Bagus lah
293,Imas Mastariya,5,2024-10-08 14:30:38,Alhamdulilah sih Ada nya tik tok bisa membantu mengobati rindu ku yg lagi cari rejeki di negri onta Makasih tik tok 😘🥰🥰🥰
294,Dhofan Anjos,5,2024-10-08 14:21:33,Bagus
295,Tanifa Dos Santos,5,2024-10-08 13:07:10,Kenapa flowers saya udah 1000 tapi tidak bisa melakukan live coba perbaiki yaaa🗿
296,اوقش,5,2024-10-08 11:53:43,Bagus
297,Hary Anggara,1,2024-10-07 21:53:50,"Ini tiktok tiap hari di update, gila"
298,Dini Nur rizki,5,2024-10-07 16:30:47,Mantap bagussss
299,Vio Indo,4,2024-10-07 16:01:50,Sangat menghibur
300,Jiniizariana pinto,5,2024-10-07 14:21:42,Sangat membantu terima kasih😊🤗
301,lukman Nae,5,2024-10-07 12:17:38,Tidak bisa mendonlod nya
